k_graph,alpha,k_spread,mean_macro_f1,mean_acc
5,0.1,10,0.13486170678439655,0.3019063886424135
5,0.1,20,0.13486170678439655,0.3019063886424135
5,0.3,10,0.13566340916528447,0.2882976929902396
5,0.3,20,0.13566340916528447,0.2882976929902396
5,0.7,10,0.1374741623837236,0.2761277728482698
5,0.7,20,0.1374741623837236,0.2761277728482698
5,0.9,10,0.14268097050212786,0.2800283939662822
5,0.9,20,0.14268097050212786,0.2800283939662822
10,0.1,10,0.11991809455058282,0.24562023070097602
10,0.1,20,0.11991809455058282,0.24562023070097602
10,0.3,10,0.1205434096050621,0.23572715173025732
10,0.3,20,0.1205434096050621,0.23572715173025732
10,0.7,10,0.13136208053658754,0.24957675244010652
10,0.7,20,0.13136208053658754,0.24957675244010652
10,0.9,10,0.13561671202265962,0.2559059449866903
10,0.9,20,0.13561671202265962,0.2559059449866903
15,0.1,10,0.14357879668084544,0.2653784383318545
15,0.1,20,0.1535347515633902,0.2798584738243124
15,0.3,10,0.14474964783766955,0.263198314108252
15,0.3,20,0.14618759792848748,0.26615039929015083
15,0.7,10,0.14427544957148955,0.26340638864241345
15,0.7,20,0.14194146179726733,0.26287355811889973
15,0.9,10,0.13311333904014935,0.2510173025732032
15,0.9,20,0.1391759980108609,0.2642054125998225
20,0.1,10,0.17295093885173116,0.2894068322981366
20,0.1,20,0.16394789918136987,0.2616113575865129
20,0.3,10,0.17861972568744075,0.29426397515527947
20,0.3,20,0.1567365098016642,0.2514773735581189
20,0.7,10,0.16638003464206558,0.2785292812777284
20,0.7,20,0.15212692680855616,0.2438025732031943
20,0.9,10,0.16268617055119278,0.27826663708961846
20,0.9,20,0.15011508576387078,0.2461876663708962
