scaler,alpha,n_neighbors,mean_macro_f1,mean_acc
standard,0.1,5,0.19648474660849882,0.32637178349600704
standard,0.1,10,0.18165206482461801,0.31221517302573204
standard,0.1,20,0.17268497408427788,0.2969995563442768
standard,0.3,5,0.16664636625053247,0.28987400177462286
standard,0.3,10,0.18125098440591852,0.3101335403726708
standard,0.3,20,0.17814059114658554,0.30692191659272405
standard,0.7,5,0.16469023891510906,0.2919924578527063
standard,0.7,10,0.1793349790922683,0.31396805678793255
standard,0.7,20,0.176312577699202,0.31214551907719607
standard,0.9,5,0.15209161159686388,0.28261224489795916
standard,0.9,10,0.17583737024012777,0.3236943212067435
standard,0.9,20,0.18543178424121973,0.32279591836734695
robust,0.1,5,0.1734237180916264,0.31965749778172137
robust,0.1,10,0.1910374257538513,0.30917080745341613
robust,0.1,20,0.18806113084705522,0.31663132209405503
robust,0.3,5,0.1690895732811238,0.2925625554569654
robust,0.3,10,0.1926212874729403,0.31320275066548353
robust,0.3,20,0.18573085901352135,0.318103371783496
robust,0.7,5,0.16561242344353871,0.2929094942324756
robust,0.7,10,0.18022081272571996,0.3153061224489796
robust,0.7,20,0.1843623335502595,0.3219032830523514
robust,0.9,5,0.17050658898929175,0.2867551020408163
robust,0.9,10,0.18269316153959542,0.3293589174800355
robust,0.9,20,0.18425712231366653,0.32625155279503104
minmax,0.1,5,0.15008634766225165,0.2688598047914818
minmax,0.1,10,0.1612081775204833,0.2730536823425022
minmax,0.1,20,0.18450831234342055,0.3044680567879326
minmax,0.3,5,0.15890845289962185,0.27343700088731143
minmax,0.3,10,0.1570240611233612,0.26724622892635314
minmax,0.3,20,0.1775478934963946,0.3005674356699201
minmax,0.7,5,0.15772161628594317,0.2734906832298136
minmax,0.7,10,0.1577773425618578,0.2668828748890861
minmax,0.7,20,0.17184658365583053,0.29446140195208514
minmax,0.9,5,0.1623002068602133,0.28231721384205855
minmax,0.9,10,0.17722683277921372,0.2960989352262644
minmax,0.9,20,0.17894166853127255,0.3068593611357587
